#RA DEC ID
83.77620388888889 -5.36741611111111 261
83.7772 -5.411509999999999 269
83.79074194444443 -5.35785111111111 341
83.7907311111111 -5.390818055555554 342
83.7925861111111 -5.389318055555556 364
83.79413694444443 -5.365601111111111 381
83.7995561111111 -5.35093 448
83.79919 -5.363666111111111 449
83.80663805555554 -5.398691944444444 553
83.80752694444443 -5.368608888888887 578
83.80871499999999 -5.3767869444444445 599
83.81109305555555 -5.3760288888888885 647
83.8111311111111 -5.383831111111111 648
83.81138194444443 -5.374923055555555 654
83.81248500000001 -5.3666319444444435 668
83.81217999999998 -5.377543888888888 669
83.81231999999999 -5.394206944444443 671
83.81333 -5.3817530555555555 681
83.81361611111112 -5.382451944444444 688
83.81395499999999 -5.370975 696
83.81455 -5.380151944444442 706
83.81482999999999 -5.420598888888889 717
83.81574305555556 -5.3860688888888895 731
83.81596388888887 -5.387266111111111 744
83.8165161111111 -5.397168888888889 757
83.81701 -5.385266944444445 765
83.81826111111111 -5.400901944444443 800
83.81866194444443 -5.389678888888889 808
83.82063999999998 -5.42975 847
83.82177805555554 -5.358796944444444 866
83.82192694444443 -5.38793 868
83.82247888888888 -5.367668888888889 873
83.82481694444444 -5.379283888888888 931
83.8251411111111 -5.3681488888888875 941
83.82657388888887 -5.377058055555554 964
83.82781305555554 -5.342701111111111 984
83.82860388888888 -5.361433055555555 996
83.83357999999998 -5.35164111111111 1070
83.83393 -5.359349999999998 1082
83.8361738888889 -5.398121944444445 1110
83.83636694444444 -5.36231611111111 1115
83.83845305555555 -5.366708888888888 1139
83.83874805555554 -5.415939999999999 1142
83.8403011111111 -5.424041944444444 1160
83.84866805555555 -5.415936111111111 1260
83.85455499999999 -5.396316111111109 1310
83.85717805555556 -5.385926944444444 1334
83.86378388888888 -5.393494999999999 1379
83.80119805555555 -5.396681944444444 469
83.81698499999999 -5.343389999999998 760
83.81783694444445 -5.369563055555555 783
83.81988999999999 -5.401158888888888 827
83.84036499999999 -5.363068888888886 1157
83.85443999999998 -5.382923888888888 1308
